# t T1 Pb T2 Pa P
0.000000000000000000e+00 2.080000000000000071e+01 5.500000000000000000e+00 2.130000000000000071e+01 5.299999999999999822e+00 0.000000000000000000e+00
1.000000000000000000e+00 2.160000000000000142e+01 6.000000000000000000e+00 2.100000000000000000e+01 4.799999999999999822e+00 1.250000000000000000e+02
2.000000000000000000e+00 2.289999999999999858e+01 6.299999999999999822e+00 1.980000000000000071e+01 4.799999999999999822e+00 1.250000000000000000e+02
3.000000000000000000e+00 2.430000000000000071e+01 6.500000000000000000e+00 1.869999999999999929e+01 4.799999999999999822e+00 1.250000000000000000e+02
4.000000000000000000e+00 2.560000000000000142e+01 6.900000000000000355e+00 1.750000000000000000e+01 4.799999999999999822e+00 1.250000000000000000e+02
5.000000000000000000e+00 2.700000000000000000e+01 7.000000000000000000e+00 1.660000000000000142e+01 4.700000000000000178e+00 1.250000000000000000e+02
6.000000000000000000e+00 2.830000000000000071e+01 7.299999999999999822e+00 1.569999999999999929e+01 4.599999999999999645e+00 1.250000000000000000e+02
7.000000000000000000e+00 2.960000000000000142e+01 7.500000000000000000e+00 1.490000000000000036e+01 4.400000000000000355e+00 1.250000000000000000e+02
8.000000000000000000e+00 3.089999999999999858e+01 7.799999999999999822e+00 1.409999999999999964e+01 4.299999999999999822e+00 1.230000000000000000e+02
9.000000000000000000e+00 3.210000000000000142e+01 8.000000000000000000e+00 1.330000000000000071e+01 4.200000000000000178e+00 1.220000000000000000e+02
1.000000000000000000e+01 3.320000000000000284e+01 8.199999999999999289e+00 1.240000000000000036e+01 4.099999999999999645e+00 1.220000000000000000e+02
1.100000000000000000e+01 3.429999999999999716e+01 8.500000000000000000e+00 1.169999999999999929e+01 4.000000000000000000e+00 1.220000000000000000e+02
1.200000000000000000e+01 3.539999999999999858e+01 8.800000000000000711e+00 1.090000000000000036e+01 4.000000000000000000e+00 1.240000000000000000e+02
1.300000000000000000e+01 3.639999999999999858e+01 9.000000000000000000e+00 1.030000000000000071e+01 3.899999999999999911e+00 1.240000000000000000e+02
1.400000000000000000e+01 3.750000000000000000e+01 9.199999999999999289e+00 9.500000000000000000e+00 3.799999999999999822e+00 1.250000000000000000e+02
1.500000000000000000e+01 3.839999999999999858e+01 9.500000000000000000e+00 8.900000000000000355e+00 3.799999999999999822e+00 1.250000000000000000e+02
1.600000000000000000e+01 3.929999999999999716e+01 9.599999999999999645e+00 8.300000000000000711e+00 3.750000000000000000e+00 1.250000000000000000e+02
1.700000000000000000e+01 4.029999999999999716e+01 9.900000000000000355e+00 7.700000000000000178e+00 3.700000000000000178e+00 1.250000000000000000e+02
1.800000000000000000e+01 4.120000000000000284e+01 1.000000000000000000e+01 7.200000000000000178e+00 3.700000000000000178e+00 1.250000000000000000e+02
1.900000000000000000e+01 4.200000000000000000e+01 1.019999999999999929e+01 6.700000000000000178e+00 3.600000000000000089e+00 1.250000000000000000e+02
2.000000000000000000e+01 4.279999999999999716e+01 1.050000000000000000e+01 6.200000000000000178e+00 3.600000000000000089e+00 1.250000000000000000e+02
2.100000000000000000e+01 4.370000000000000284e+01 1.059999999999999964e+01 5.700000000000000178e+00 3.600000000000000089e+00 1.250000000000000000e+02
2.200000000000000000e+01 4.450000000000000000e+01 1.090000000000000036e+01 5.299999999999999822e+00 3.600000000000000089e+00 1.250000000000000000e+02
2.300000000000000000e+01 4.520000000000000284e+01 1.100000000000000000e+01 5.000000000000000000e+00 3.549999999999999822e+00 1.250000000000000000e+02
2.400000000000000000e+01 4.600000000000000000e+01 1.119999999999999929e+01 4.599999999999999645e+00 3.500000000000000000e+00 1.250000000000000000e+02
2.500000000000000000e+01 4.679999999999999716e+01 1.150000000000000000e+01 4.299999999999999822e+00 3.500000000000000000e+00 1.260000000000000000e+02
2.600000000000000000e+01 4.750000000000000000e+01 1.150000000000000000e+01 4.000000000000000000e+00 3.500000000000000000e+00 1.260000000000000000e+02
2.700000000000000000e+01 4.820000000000000284e+01 1.180000000000000071e+01 3.799999999999999822e+00 3.500000000000000000e+00 1.260000000000000000e+02
2.800000000000000000e+01 4.889999999999999858e+01 1.200000000000000000e+01 3.500000000000000000e+00 3.450000000000000178e+00 1.260000000000000000e+02
2.900000000000000000e+01 4.960000000000000142e+01 1.200000000000000000e+01 3.299999999999999822e+00 3.450000000000000178e+00 1.260000000000000000e+02
3.000000000000000000e+01 5.020000000000000284e+01 1.219999999999999929e+01 3.200000000000000178e+00 3.399999999999999911e+00 1.260000000000000000e+02
