# T, U1, U2, U3, U4
3.631999999999999886e+02 1.752000000000000031e-04 9.882999999999998991e-04 6.870000000000000293e-05 9.453999999999999947e-04
3.581999999999999886e+02 1.540000000000000028e-04 8.821999999999999764e-04 6.409999999999999953e-05 8.499999999999999526e-04
3.531999999999999886e+02 1.340000000000000045e-04 7.912999999999999895e-04 5.209999999999999923e-05 7.699000000000000114e-04
3.481999999999999886e+02 1.149000000000000010e-04 7.000999999999999411e-04 4.950000000000000380e-05 6.805000000000000068e-04
3.431999999999999886e+02 1.104000000000000001e-04 6.132999999999999997e-04 4.459999999999999989e-05 5.933000000000000556e-04
3.381999999999999886e+02 8.529999999999999985e-05 5.320999999999999775e-04 4.429999999999999937e-05 5.192000000000000434e-04
3.331999999999999886e+02 7.760000000000000242e-05 4.540000000000000307e-04 3.640000000000000386e-05 4.431999999999999850e-04
3.281999999999999886e+02 6.970000000000000013e-05 3.795000000000000088e-04 3.610000000000000334e-05 3.667000000000000229e-04
3.231999999999999886e+02 5.300000000000000078e-05 3.039000000000000143e-04 2.019999999999999972e-05 2.977000000000000262e-04
3.181999999999999886e+02 4.550000000000000144e-05 2.395999999999999964e-04 1.769999999999999994e-05 2.303999999999999896e-04
3.131999999999999886e+02 3.599999999999999414e-05 1.762000000000000003e-04 1.590000000000000023e-05 1.707000000000000021e-04
3.081999999999999886e+02 2.730000000000000289e-05 1.180999999999999975e-04 1.489999999999999964e-05 1.144000000000000024e-04
