# abs, Uabs
1.000000000000000056e-01 2.904999999999999596e-04
1.100000000000000006e-01 2.857000000000000056e-04
1.199999999999999956e-01 2.810000000000000540e-04
1.300000000000000044e-01 2.748000000000000117e-04
1.400000000000000133e-01 2.687999999999999743e-04
1.499999999999999944e-01 2.630999999999999984e-04
1.600000000000000033e-01 2.567999999999999537e-04
1.700000000000000122e-01 2.494999999999999931e-04
1.799999999999999933e-01 2.426999999999999904e-04
1.900000000000000022e-01 2.350999999999999954e-04
2.000000000000000111e-01 2.253999999999999765e-04
