# T, dU1, dU2, dU3, dU4, dt
3.631999999999999886e+02 1.670499999999999947e-04 9.801499999999999449e-04 6.055000000000000134e-05 9.372500000000000405e-04 9.536365868951997757e+09
3.581999999999999886e+02 1.458499999999999944e-04 8.740500000000000222e-04 5.594999999999999794e-05 8.418499999999999985e-04 8.597746990591997147e+09
3.531999999999999886e+02 1.258499999999999962e-04 7.831500000000000353e-04 4.394999999999999764e-05 7.617500000000000573e-04 7.697621534231996536e+09
3.481999999999999886e+02 1.067500000000000062e-04 6.919499999999999870e-04 4.135000000000000221e-05 6.723500000000000526e-04 6.834922399871995926e+09
3.431999999999999886e+02 1.022500000000000053e-04 6.051500000000000455e-04 3.644999999999999830e-05 5.851500000000001015e-04 6.008597487511997223e+09
3.381999999999999886e+02 7.715000000000000503e-05 5.239500000000000234e-04 3.614999999999999778e-05 5.110500000000000893e-04 5.217609697151996613e+09
3.331999999999999886e+02 6.945000000000000760e-05 4.458500000000000223e-04 2.825000000000000227e-05 4.350499999999999767e-04 4.460936928791996002e+09
3.281999999999999886e+02 6.155000000000000531e-05 3.713500000000000004e-04 2.795000000000000175e-05 3.585500000000000145e-04 3.737572082431997299e+09
3.231999999999999886e+02 4.484999999999999919e-05 2.957500000000000059e-04 1.204999999999999983e-05 2.895500000000000179e-04 3.046523058071996689e+09
3.181999999999999886e+02 3.734999999999999985e-05 2.314499999999999880e-04 9.550000000000000044e-06 2.222499999999999812e-04 2.386812755711996078e+09
3.131999999999999886e+02 2.784999999999999255e-05 1.680499999999999919e-04 7.750000000000000338e-06 1.625499999999999938e-04 1.757479075351997375e+09
3.081999999999999886e+02 1.915000000000000469e-05 1.099500000000000027e-04 6.749999999999999747e-06 1.062500000000000076e-04 1.157574916991996765e+09
