# d, dUabs
1.000000000000000056e-01 2.823499999999999513e-04
1.100000000000000006e-01 2.775499999999999972e-04
1.199999999999999956e-01 2.728500000000000456e-04
1.300000000000000044e-01 2.666500000000000033e-04
1.400000000000000133e-01 2.606499999999999659e-04
1.499999999999999944e-01 2.549499999999999900e-04
1.600000000000000033e-01 2.486499999999999453e-04
1.700000000000000122e-01 2.413499999999999847e-04
1.799999999999999933e-01 2.345499999999999820e-04
1.900000000000000022e-01 2.269499999999999870e-04
2.000000000000000111e-01 2.172499999999999681e-04
