# nr, pulse
1.000000000000000000e+00 1.119500000000000000e+04
2.000000000000000000e+00 1.086700000000000000e+04
3.000000000000000000e+00 1.074000000000000000e+04
4.000000000000000000e+00 1.095800000000000000e+04
5.000000000000000000e+00 1.050500000000000000e+04
6.000000000000000000e+00 1.065600000000000000e+04
7.000000000000000000e+00 1.042200000000000000e+04
8.000000000000000000e+00 1.062000000000000000e+04
9.000000000000000000e+00 1.091900000000000000e+04
1.000000000000000000e+01 1.083200000000000000e+04
1.100000000000000000e+01 1.123200000000000000e+04
1.200000000000000000e+01 1.014300000000000000e+04
1.300000000000000000e+01 1.071500000000000000e+04
1.400000000000000000e+01 1.086400000000000000e+04
1.500000000000000000e+01 1.028000000000000000e+04
1.600000000000000000e+01 1.054700000000000000e+04
1.700000000000000000e+01 1.092500000000000000e+04
1.800000000000000000e+01 1.059400000000000000e+04
1.900000000000000000e+01 1.038100000000000000e+04
2.000000000000000000e+01 1.088400000000000000e+04
2.100000000000000000e+01 1.098600000000000000e+04
2.200000000000000000e+01 1.076900000000000000e+04
2.300000000000000000e+01 1.078800000000000000e+04
2.400000000000000000e+01 1.013800000000000000e+04
2.500000000000000000e+01 1.053800000000000000e+04
2.600000000000000000e+01 1.148600000000000000e+04
2.700000000000000000e+01 1.056800000000000000e+04
2.800000000000000000e+01 1.198300000000000000e+04
2.900000000000000000e+01 1.051400000000000000e+04
3.000000000000000000e+01 1.082300000000000000e+04
3.100000000000000000e+01 1.075300000000000000e+04
3.200000000000000000e+01 1.007200000000000000e+04
3.300000000000000000e+01 1.040000000000000000e+04
3.400000000000000000e+01 1.015500000000000000e+04
3.500000000000000000e+01 1.035500000000000000e+04
3.600000000000000000e+01 1.008100000000000000e+04
3.700000000000000000e+01 1.078400000000000000e+04
3.800000000000000000e+01 1.039000000000000000e+04
3.900000000000000000e+01 1.052600000000000000e+04
4.000000000000000000e+01 1.044500000000000000e+04
4.100000000000000000e+01 1.003700000000000000e+04
4.200000000000000000e+01 1.110800000000000000e+04
4.300000000000000000e+01 1.083500000000000000e+04
4.400000000000000000e+01 1.007400000000000000e+04
4.500000000000000000e+01 1.034000000000000000e+04
4.600000000000000000e+01 1.044500000000000000e+04
4.700000000000000000e+01 1.037600000000000000e+04
4.800000000000000000e+01 1.044900000000000000e+04
4.900000000000000000e+01 1.102600000000000000e+04
5.000000000000000000e+01 1.087200000000000000e+04
5.100000000000000000e+01 1.114100000000000000e+04
5.200000000000000000e+01 1.056800000000000000e+04
5.300000000000000000e+01 1.020700000000000000e+04
5.400000000000000000e+01 1.094900000000000000e+04
5.500000000000000000e+01 1.094400000000000000e+04
5.600000000000000000e+01 1.075700000000000000e+04
5.700000000000000000e+01 1.009500000000000000e+04
5.800000000000000000e+01 1.140900000000000000e+04
5.900000000000000000e+01 1.034400000000000000e+04
6.000000000000000000e+01 1.126300000000000000e+04
6.100000000000000000e+01 1.024100000000000000e+04
6.200000000000000000e+01 1.160800000000000000e+04
6.300000000000000000e+01 1.100000000000000000e+04
6.400000000000000000e+01 1.010600000000000000e+04
6.500000000000000000e+01 1.107600000000000000e+04
6.600000000000000000e+01 1.006700000000000000e+04
6.700000000000000000e+01 1.028800000000000000e+04
6.800000000000000000e+01 1.024600000000000000e+04
6.900000000000000000e+01 1.004300000000000000e+04
7.000000000000000000e+01 1.074700000000000000e+04
7.100000000000000000e+01 1.097100000000000000e+04
7.200000000000000000e+01 1.073000000000000000e+04
7.300000000000000000e+01 1.080700000000000000e+04
7.400000000000000000e+01 1.059800000000000000e+04
7.500000000000000000e+01 1.046100000000000000e+04
7.600000000000000000e+01 1.061600000000000000e+04
7.700000000000000000e+01 1.102100000000000000e+04
7.800000000000000000e+01 1.009800000000000000e+04
7.900000000000000000e+01 1.089200000000000000e+04
8.000000000000000000e+01 1.106300000000000000e+04
8.100000000000000000e+01 1.054800000000000000e+04
8.200000000000000000e+01 1.008500000000000000e+04
8.300000000000000000e+01 1.019000000000000000e+04
8.400000000000000000e+01 1.077900000000000000e+04
8.500000000000000000e+01 1.055600000000000000e+04
8.600000000000000000e+01 1.054900000000000000e+04
8.700000000000000000e+01 1.099500000000000000e+04
8.800000000000000000e+01 9.829000000000000000e+03
8.900000000000000000e+01 1.045200000000000000e+04
9.000000000000000000e+01 1.016600000000000000e+04
9.100000000000000000e+01 1.004700000000000000e+04
9.200000000000000000e+01 1.149700000000000000e+04
9.300000000000000000e+01 1.080900000000000000e+04
9.400000000000000000e+01 1.081300000000000000e+04
9.500000000000000000e+01 1.005600000000000000e+04
9.600000000000000000e+01 1.105000000000000000e+04
9.700000000000000000e+01 1.102800000000000000e+04
9.800000000000000000e+01 1.109100000000000000e+04
9.900000000000000000e+01 9.885000000000000000e+03
1.000000000000000000e+02 1.039500000000000000e+04
